municipality_original,municipality_match_key,municipality_canonical,review_status,normalization_rule,notes
ORPESA/OROPESA DEL MAR,ORPESA OROPESA DEL MAR,ORPESA/OROPESA DEL MAR,pending,identity_pending_review,
PALANQUES,PALANQUES,PALANQUES,pending,identity_pending_review,
PENISCOLA/PEÑISCOLA,PENISCOLA PENISCOLA,PENISCOLA/PEÑISCOLA,pending,identity_pending_review,
PEÑISCOLA,PENISCOLA,PEÑISCOLA,pending,identity_pending_review,
PORTELL DE MORELLA,PORTELL DE MORELLA,PORTELL DE MORELLA,pending,identity_pending_review,
RIBESALBES,RIBESALBES,RIBESALBES,pending,identity_pending_review,
ROSELL,ROSELL,ROSELL,pending,identity_pending_review,
ROSSELL,ROSSELL,ROSSELL,pending,identity_pending_review,
SAN RAFAEL DEL RIO,SAN RAFAEL DEL RIO,SAN RAFAEL DEL RIO,pending,identity_pending_review,
SANT JOAN DE MORO,SANT JOAN DE MORO,SANT JOAN DE MORO,pending,identity_pending_review,
SANT JORDI/SAN JORGE,SANT JORDI SAN JORGE,SANT JORDI/SAN JORGE,pending,identity_pending_review,
SANT MATEU,SANT MATEU,SANT MATEU,pending,identity_pending_review,
SANTA MAGDALENA DE PULPIS,SANTA MAGDALENA DE PULPIS,SANTA MAGDALENA DE PULPIS,pending,identity_pending_review,
SEGORBE,SEGORBE,SEGORBE,pending,identity_pending_review,
SIERRA ENGARCERAN,SIERRA ENGARCERAN,SIERRA ENGARCERAN,pending,identity_pending_review,
SIERRA-ENGARCERAN,SIERRA ENGARCERAN,SIERRA-ENGARCERAN,pending,identity_pending_review,
SONEJA,SONEJA,SONEJA,pending,identity_pending_review,
SOT DE FERRER,SOT DE FERRER,SOT DE FERRER,pending,identity_pending_review,
SUERA/SUERAS,SUERA SUERAS,SUERA/SUERAS,pending,identity_pending_review,
SUERAS,SUERAS,SUERAS,pending,identity_pending_review,
TALES,TALES,TALES,pending,identity_pending_review,
TERESA,TERESA,TERESA,pending,identity_pending_review,
TIRIG,TIRIG,TIRIG,pending,identity_pending_review,
TODOLELLA,TODOLELLA,TODOLELLA,pending,identity_pending_review,
TORREBLANCA,TORREBLANCA,TORREBLANCA,pending,identity_pending_review,
TRAIGUERA,TRAIGUERA,TRAIGUERA,pending,identity_pending_review,
VALL D'ALBA,VALL D ALBA,VALL D'ALBA,pending,identity_pending_review,
VILA-REAL,VILA REAL,VILA-REAL,pending,identity_pending_review,
VILAFAMES,VILAFAMES,VILAFAMES,pending,identity_pending_review,
VILAFRANCA /VILLAFRANCA DEL CID,VILAFRANCA VILLAFRANCA DEL CID,VILAFRANCA /VILLAFRANCA DEL CID,pending,identity_pending_review,
VILANOVA D'ALCOLEA,VILANOVA D ALCOLEA,VILANOVA D'ALCOLEA,pending,identity_pending_review,
VILLAFRANCA DEL CID,VILLAFRANCA DEL CID,VILLAFRANCA DEL CID,pending,identity_pending_review,
VILLAHERMOSA DEL RIO,VILLAHERMOSA DEL RIO,VILLAHERMOSA DEL RIO,pending,identity_pending_review,
VILLARREAL,VILLARREAL,VILLARREAL,pending,identity_pending_review,
VINAROS,VINAROS,VINAROS,pending,identity_pending_review,
VISTABELLA DEL MAESTRAT,VISTABELLA DEL MAESTRAT,VISTABELLA DEL MAESTRAT,pending,identity_pending_review,
VIVER,VIVER,VIVER,pending,identity_pending_review,
XERT,XERT,XERT,pending,identity_pending_review,
