record_order,company_name,website,municipality,employees_latest,operating_revenue_latest_k_eur,operating_revenue_previous_k_eur,ebitda_latest_k_eur,ebitda_previous_k_eur,shareholder_name,company_name_normalized,legal_status,has_adverse_legal_status,company_match_key,potential_duplicate,potential_duplicate_count,revenue_growth,revenue_change_k_eur,ebitda_margin,ebitda_change_k_eur,revenue_per_employee_k_eur,ebitda_per_employee_k_eur,has_negative_latest_revenue,has_zero_latest_revenue,has_negative_latest_ebitda,has_revenue_decline,has_extreme_ebitda_margin,has_incomplete_financial_data,data_quality_issue_count,business_risk_signal_count,has_data_quality_issue,has_business_risk_signal,data_quality_status,analytical_eligibility,data_quality_reasons,business_risk_reasons
11,SYNTHETIC BRIGHTMILL INDUSTRIES 011 SL,https://synthetic-company-011.example,VILA-REAL,70,7935.708741,7860.320438,-880.802666,-510.204886,,SYNTHETIC BRIGHTMILL INDUSTRIES 011 SL,no_adverse_marker,False,SYNTHETIC BRIGHTMILL INDUSTRIES 011 SL,False,1,0.009590996143,75.388303,-0.1109923127,-370.59778,113.3672677,-12.58289523,False,False,True,False,False,False,0,1,False,True,clean,eligible,,negative_latest_ebitda
12,SYNTHETIC AURORA INDUSTRIES 012 SL,https://synthetic-company-012.example,CASTELLO DE LA PLANA,30,3573.852956,4043.212214,555.580369,486.764204,SYNTHETIC HOLDING 01 SL,SYNTHETIC AURORA INDUSTRIES 012 SL,no_adverse_marker,False,SYNTHETIC AURORA INDUSTRIES 012 SL,False,1,-0.1160857341,-469.359258,0.1554569748,68.816165,119.1284319,18.51934563,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
13,SYNTHETIC NORTHSTAR SYSTEMS 013 SL,https://synthetic-company-013.example,ONDA,33,5678.936996,4410.497357,1770.769742,824.27939,SYNTHETIC HOLDING 02 SL,SYNTHETIC NORTHSTAR SYSTEMS 013 SL,no_adverse_marker,False,SYNTHETIC NORTHSTAR SYSTEMS 013 SL,False,1,0.2875956012,1268.439639,0.3118135917,946.490352,172.0889999,53.65968915,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
14,SYNTHETIC BLUEHAVEN SYSTEMS 014 SL,https://synthetic-company-014.example,ALMASSORA,57,4238.828605,4056.150166,1211.958377,1206.939337,SYNTHETIC HOLDING 03 SL,SYNTHETIC BLUEHAVEN SYSTEMS 014 SL,no_adverse_marker,False,SYNTHETIC BLUEHAVEN SYSTEMS 014 SL,False,1,0.04503739544,182.678439,0.2859182312,5.01904,74.36541412,21.26242767,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
15,SYNTHETIC SOLARIDGE SYSTEMS 015 SL,,VILA-REAL,49,7571.371076,7499.667663,1062.850882,1150.90422,SYNTHETIC HOLDING 04 SL,SYNTHETIC SOLARIDGE SYSTEMS 015 SL,no_adverse_marker,False,SYNTHETIC SOLARIDGE SYSTEMS 015 SL,False,1,0.009560878725,71.703413,0.1403775976,-88.053338,154.5177771,21.69083433,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
16,SYNTHETIC IRONVALE SYSTEMS 016 SL,https://synthetic-company-016.example,VILA-REAL,5,617.383972,531.532473,121.950566,84.691014,SYNTHETIC HOLDING 05 SL,SYNTHETIC IRONVALE SYSTEMS 016 SL,no_adverse_marker,False,SYNTHETIC IRONVALE SYSTEMS 016 SL,False,1,0.1615169408,85.851499,0.1975279106,37.259552,123.4767944,24.3901132,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
17,SYNTHETIC RIVERSTONE SYSTEMS 017 SL,,VINAROS,105,12949.54098,13410.39426,2417.49809,2557.648277,SYNTHETIC HOLDING 06 SL,SYNTHETIC RIVERSTONE SYSTEMS 017 SL,no_adverse_marker,False,SYNTHETIC RIVERSTONE SYSTEMS 017 SL,False,1,-0.03436537875,-460.853278,0.1866860063,-140.150187,123.3289617,23.02379133,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
18,SYNTHETIC NOVACORE SYSTEMS 018 SL,https://synthetic-company-018.example,ONDA,5,815.862736,712.693618,-34.37192,-5.313994,,SYNTHETIC NOVACORE SYSTEMS 018 SL,no_adverse_marker,False,SYNTHETIC NOVACORE SYSTEMS 018 SL,False,1,0.1447594245,103.169118,-0.04212953783,-29.057926,163.1725472,-6.874384,False,False,True,False,False,False,0,1,False,True,clean,eligible,,negative_latest_ebitda
19,SYNTHETIC GREENFORGE SYSTEMS 019 SL,https://synthetic-company-019.example,VILA-REAL,8,860.049617,807.606635,212.924898,177.902847,SYNTHETIC HOLDING 08 SL,SYNTHETIC GREENFORGE SYSTEMS 019 SL,no_adverse_marker,False,SYNTHETIC GREENFORGE SYSTEMS 019 SL,False,1,0.06493629414,52.442982,0.2475728072,35.022051,107.5062021,26.61561225,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
20,SYNTHETIC CLEARPATH SYSTEMS 020 SL,https://synthetic-company-020.example,ALMASSORA,12,926.057845,961.067118,92.576814,92.968589,SYNTHETIC HOLDING 09 SL,SYNTHETIC CLEARPATH SYSTEMS 020 SL,no_adverse_marker,False,SYNTHETIC CLEARPATH SYSTEMS 020 SL,False,1,-0.03642750058,-35.009273,0.09996871632,-0.391775,77.17148708,7.7147345,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
21,SYNTHETIC PRIMEFIELD SYSTEMS 021 SL,https://synthetic-company-021.example,VILA-REAL,31,1683.526132,1973.657384,376.061655,404.539431,SYNTHETIC HOLDING 10 SL,SYNTHETIC PRIMEFIELD SYSTEMS 021 SL,no_adverse_marker,False,SYNTHETIC PRIMEFIELD SYSTEMS 021 SL,False,1,-0.1470018324,-290.131252,0.2233773791,-28.477776,54.30729458,12.13102113,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
22,SYNTHETIC VECTORLINE SYSTEMS 022 SL,https://synthetic-company-022.example,VINAROS,5,671.404818,691.372131,76.551804,76.453342,SYNTHETIC HOLDING 11 SL,SYNTHETIC VECTORLINE SYSTEMS 022 SL,no_adverse_marker,False,SYNTHETIC VECTORLINE SYSTEMS 022 SL,False,1,-0.02888070274,-19.967313,0.1140173587,0.098462,134.2809636,15.3103608,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
23,SYNTHETIC BRIGHTMILL SYSTEMS 023 SL,https://synthetic-company-023.example,VILA-REAL,23,2476.850827,2012.048033,237.457175,211.482056,SYNTHETIC HOLDING 12 SL,SYNTHETIC BRIGHTMILL SYSTEMS 023 SL,no_adverse_marker,False,SYNTHETIC BRIGHTMILL SYSTEMS 023 SL,False,1,0.2310097902,464.802794,0.09587060004,25.975119,107.6891664,10.324225,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
24,SYNTHETIC AURORA SYSTEMS 024 SL,,VINAROS,28,1735.212172,1550.480569,-75.837478,19.69288,SYNTHETIC HOLDING 01 SL,SYNTHETIC AURORA SYSTEMS 024 SL,no_adverse_marker,False,SYNTHETIC AURORA SYSTEMS 024 SL,False,1,0.1191447392,184.731603,-0.0437050173,-95.530358,61.97186329,-2.708481357,False,False,True,False,False,False,0,1,False,True,clean,eligible,,negative_latest_ebitda
25,SYNTHETIC NORTHSTAR MATERIALS 025 SL (EXTINGUIDA),https://synthetic-company-025.example,ONDA,26,1844.791357,2052.940806,107.751517,242.370868,,SYNTHETIC NORTHSTAR MATERIALS 025 SL EXTINGUIDA,extinct,True,SYNTHETIC NORTHSTAR MATERIALS 025 SL,False,1,-0.1013908674,-208.149449,0.0584085114,-134.619351,70.95351373,4.144289115,False,False,False,True,False,False,0,2,False,True,clean,eligible,,adverse_legal_status|revenue_decline
26,SYNTHETIC BLUEHAVEN MATERIALS 026 SL,https://synthetic-company-026.example,L'ALCORA,5,238.914846,220.505876,17.584646,1.537601,,SYNTHETIC BLUEHAVEN MATERIALS 026 SL,no_adverse_marker,False,SYNTHETIC BLUEHAVEN MATERIALS 026 SL,False,1,0.08348516753,18.40897,0.07360214861,16.047045,47.7829692,3.5169292,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
27,SYNTHETIC SOLARIDGE MATERIALS 027 SL,https://synthetic-company-027.example,ALMASSORA,8,1380.079097,1172.717537,-79.484293,-86.609735,SYNTHETIC HOLDING 04 SL,SYNTHETIC SOLARIDGE MATERIALS 027 SL,no_adverse_marker,False,SYNTHETIC SOLARIDGE MATERIALS 027 SL,False,1,0.1768214028,207.36156,-0.05759401267,7.125442,172.5098871,-9.935536625,False,False,True,False,False,False,0,1,False,True,clean,eligible,,negative_latest_ebitda
28,SYNTHETIC IRONVALE MATERIALS 028 SL,https://synthetic-company-028.example,VINAROS,13,1550.561002,1215.840733,32.727376,117.857438,SYNTHETIC HOLDING 05 SL,SYNTHETIC IRONVALE MATERIALS 028 SL,no_adverse_marker,False,SYNTHETIC IRONVALE MATERIALS 028 SL,False,1,0.2752994368,334.720269,0.0211067968,-85.130062,119.2739232,2.517490462,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
29,SYNTHETIC RIVERSTONE MATERIALS 029 SL,https://synthetic-company-029.example,CASTELLO DE LA PLANA,8,453.493048,497.665719,49.582368,63.132859,,SYNTHETIC RIVERSTONE MATERIALS 029 SL,no_adverse_marker,False,SYNTHETIC RIVERSTONE MATERIALS 029 SL,False,1,-0.08875972227,-44.172671,0.1093343508,-13.550491,56.686631,6.197796,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
30,SYNTHETIC NOVACORE MATERIALS 030 SL,https://synthetic-company-030.example,VILA-REAL,23,6418.696216,4926.668926,1106.108897,570.19899,SYNTHETIC HOLDING 07 SL,SYNTHETIC NOVACORE MATERIALS 030 SL,no_adverse_marker,False,SYNTHETIC NOVACORE MATERIALS 030 SL,False,1,0.3028470783,1492.02729,0.1723261017,535.909907,279.0737485,48.09169117,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
31,SYNTHETIC GREENFORGE MATERIALS 031 SL,https://synthetic-company-031.example,VILA-REAL,10,694.693234,663.154455,31.93788,75.816049,SYNTHETIC HOLDING 08 SL,SYNTHETIC GREENFORGE MATERIALS 031 SL,no_adverse_marker,False,SYNTHETIC GREENFORGE MATERIALS 031 SL,False,1,0.04755872295,31.538779,0.04597407667,-43.878169,69.4693234,3.193788,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
32,SYNTHETIC CLEARPATH MATERIALS 032 SL,,VINAROS,8,1293.241774,1264.656464,126.487291,105.074642,,SYNTHETIC CLEARPATH MATERIALS 032 SL,no_adverse_marker,False,SYNTHETIC CLEARPATH MATERIALS 032 SL,False,1,0.02260322136,28.58531,0.09780637584,21.412649,161.6552218,15.81091137,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
33,SYNTHETIC PRIMEFIELD MATERIALS 033 SL (EN LIQUIDACION),https://synthetic-company-033.example,VILA-REAL,22,2697.418413,2596.174818,10.352965,-167.433566,,SYNTHETIC PRIMEFIELD MATERIALS 033 SL EN LIQUIDACION,in_liquidation,True,SYNTHETIC PRIMEFIELD MATERIALS 033 SL,False,1,0.03899721787,101.243595,0.003838101256,177.786531,122.6099279,0.4705893182,False,False,False,False,False,False,0,1,False,True,clean,eligible,,adverse_legal_status
34,SYNTHETIC VECTORLINE MATERIALS 034 SL,https://synthetic-company-034.example,VINAROS,12,2878.50392,2801.025756,-97.821683,145.565414,SYNTHETIC HOLDING 11 SL,SYNTHETIC VECTORLINE MATERIALS 034 SL,no_adverse_marker,False,SYNTHETIC VECTORLINE MATERIALS 034 SL,False,1,0.02766063962,77.478164,-0.03398351565,-243.387097,239.8753267,-8.151806917,False,False,True,False,False,False,0,1,False,True,clean,eligible,,negative_latest_ebitda
35,SYNTHETIC BRIGHTMILL MATERIALS 035 SL,https://synthetic-company-035.example,L'ALCORA,49,2873.719175,3320.875196,27.263423,300.694974,SYNTHETIC HOLDING 12 SL,SYNTHETIC BRIGHTMILL MATERIALS 035 SL,no_adverse_marker,False,SYNTHETIC BRIGHTMILL MATERIALS 035 SL,False,1,-0.134650053,-447.156021,0.009487156309,-273.431551,58.6473301,0.5563963878,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
36,SYNTHETIC AURORA MATERIALS 036 SL,https://synthetic-company-036.example,CASTELLO DE LA PLANA,28,1455.766483,1824.283279,-79.666249,-115.380016,SYNTHETIC HOLDING 01 SL,SYNTHETIC AURORA MATERIALS 036 SL,no_adverse_marker,False,SYNTHETIC AURORA MATERIALS 036 SL,False,1,-0.2020063442,-368.516796,-0.05472460723,35.713767,51.99166011,-2.845223179,False,False,True,True,False,False,0,2,False,True,clean,eligible,,negative_latest_ebitda|revenue_decline
37,SYNTHETIC NORTHSTAR SOLUTIONS 037 SL,https://synthetic-company-037.example,BENICARLO,21,3765.767747,3014.539597,767.205861,195.310682,,SYNTHETIC NORTHSTAR SOLUTIONS 037 SL,no_adverse_marker,False,SYNTHETIC NORTHSTAR SOLUTIONS 037 SL,False,1,0.2492016196,751.22815,0.2037315927,571.895179,179.3222737,36.53361243,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
38,SYNTHETIC BLUEHAVEN SOLUTIONS 038 SL,https://synthetic-company-038.example,ONDA,16,1203.137135,1089.228499,136.120961,85.358692,,SYNTHETIC BLUEHAVEN SOLUTIONS 038 SL,no_adverse_marker,False,SYNTHETIC BLUEHAVEN SOLUTIONS 038 SL,False,1,0.1045773555,113.908636,0.1131383589,50.762269,75.19607094,8.507560062,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
39,SYNTHETIC SOLARIDGE SOLUTIONS 039 SL,,NULES,10,1186.364996,1480.764548,1.245254,33.385994,,SYNTHETIC SOLARIDGE SOLUTIONS 039 SL,no_adverse_marker,False,SYNTHETIC SOLARIDGE SOLUTIONS 039 SL,False,1,-0.1988159106,-294.399552,0.001049638184,-32.14074,118.6364996,0.1245254,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
40,SYNTHETIC IRONVALE SOLUTIONS 040 SL,https://synthetic-company-040.example,ONDA,21,2391.201294,2043.055724,107.953184,145.844729,,SYNTHETIC IRONVALE SOLUTIONS 040 SL,no_adverse_marker,False,SYNTHETIC IRONVALE SOLUTIONS 040 SL,False,1,0.1704043438,348.14557,0.04514600434,-37.891545,113.8667283,5.14062781,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
41,SYNTHETIC RIVERSTONE SOLUTIONS 041 SL,https://synthetic-company-041.example,BENICARLO,34,3412.268118,3381.757951,301.226762,288.390691,,SYNTHETIC RIVERSTONE SOLUTIONS 041 SL,no_adverse_marker,False,SYNTHETIC RIVERSTONE SOLUTIONS 041 SL,False,1,0.009021984259,30.510167,0.08827757714,12.836071,100.360827,8.859610647,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
42,SYNTHETIC NOVACORE SOLUTIONS 042 SL,,NULES,7,590.720738,604.739306,-21.125229,5.449577,SYNTHETIC HOLDING 07 SL,SYNTHETIC NOVACORE SOLUTIONS 042 SL,no_adverse_marker,False,SYNTHETIC NOVACORE SOLUTIONS 042 SL,False,1,-0.02318117553,-14.018568,-0.03576178665,-26.574806,84.38867686,-3.017889857,False,False,True,True,False,False,0,2,False,True,clean,eligible,,negative_latest_ebitda|revenue_decline
43,SYNTHETIC GREENFORGE SOLUTIONS 043 SL,https://synthetic-company-043.example,ONDA,33,4411.007212,4173.337305,-179.20436,-323.604586,,SYNTHETIC GREENFORGE SOLUTIONS 043 SL,no_adverse_marker,False,SYNTHETIC GREENFORGE SOLUTIONS 043 SL,False,1,0.05694960403,237.669907,-0.04062663047,144.400226,133.6668852,-5.430435152,False,False,True,False,False,False,0,1,False,True,clean,eligible,,negative_latest_ebitda
44,SYNTHETIC CLEARPATH SOLUTIONS 044 SL,https://synthetic-company-044.example,VILA-REAL,84,9583.019143,10523.59114,1191.388592,1917.934177,SYNTHETIC HOLDING 09 SL,SYNTHETIC CLEARPATH SOLUTIONS 044 SL,no_adverse_marker,False,SYNTHETIC CLEARPATH SOLUTIONS 044 SL,False,1,-0.08937747433,-940.571997,0.1243228855,-726.545585,114.0835612,14.18319752,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
45,SYNTHETIC PRIMEFIELD SOLUTIONS 045 SL,https://synthetic-company-045.example,VILA-REAL,50,1897.721801,2456.503605,327.056599,317.613491,SYNTHETIC HOLDING 10 SL,SYNTHETIC PRIMEFIELD SOLUTIONS 045 SL,no_adverse_marker,False,SYNTHETIC PRIMEFIELD SOLUTIONS 045 SL,False,1,-0.2274703782,-558.781804,0.1723416988,9.443108,37.95443602,6.54113198,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
46,SYNTHETIC VECTORLINE SOLUTIONS 046 SL,https://synthetic-company-046.example,ALMASSORA,19,2381.760709,2610.981295,186.422477,126.254377,SYNTHETIC HOLDING 11 SL,SYNTHETIC VECTORLINE SOLUTIONS 046 SL,no_adverse_marker,False,SYNTHETIC VECTORLINE SOLUTIONS 046 SL,False,1,-0.08779097209,-229.220586,0.07827086755,60.1681,125.3558268,9.811709316,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
47,SYNTHETIC BRIGHTMILL SOLUTIONS 047 SL,https://synthetic-company-047.example,NULES,59,10042.04214,11244.06208,1298.878507,2016.807422,SYNTHETIC HOLDING 12 SL,SYNTHETIC BRIGHTMILL SOLUTIONS 047 SL,no_adverse_marker,False,SYNTHETIC BRIGHTMILL SOLUTIONS 047 SL,False,1,-0.1069026421,-1202.019944,0.1293440606,-717.928915,170.204104,22.01488995,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
48,SYNTHETIC AURORA SOLUTIONS 048 SL,https://synthetic-company-048.example,NULES,37,4783.166842,4692.401443,240.294413,194.763833,,SYNTHETIC AURORA SOLUTIONS 048 SL,no_adverse_marker,False,SYNTHETIC AURORA SOLUTIONS 048 SL,False,1,0.01934305922,90.765399,0.05023751438,45.53058,129.2747795,6.494443595,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
49,SYNTHETIC NORTHSTAR TECHNOLOGIES 049 SL,https://synthetic-company-049.example,ONDA,25,2409.406602,2908.915656,-49.259838,-175.622251,SYNTHETIC HOLDING 02 SL,SYNTHETIC NORTHSTAR TECHNOLOGIES 049 SL,no_adverse_marker,False,SYNTHETIC NORTHSTAR TECHNOLOGIES 049 SL,False,1,-0.1717165821,-499.509054,-0.02044480079,126.362413,96.37626408,-1.97039352,False,False,True,True,False,False,0,2,False,True,clean,eligible,,negative_latest_ebitda|revenue_decline
50,SYNTHETIC BLUEHAVEN TECHNOLOGIES 050 SL (EXTINGUIDA),https://synthetic-company-050.example,ALMASSORA,15,2091.710481,1596.987161,237.899774,94.768724,,SYNTHETIC BLUEHAVEN TECHNOLOGIES 050 SL EXTINGUIDA,extinct,True,SYNTHETIC BLUEHAVEN TECHNOLOGIES 050 SL,False,1,0.3097854085,494.72332,0.1137345613,143.13105,139.4473654,15.85998493,False,False,False,False,False,False,0,1,False,True,clean,eligible,,adverse_legal_status
51,SYNTHETIC SOLARIDGE TECHNOLOGIES 051 SL,https://synthetic-company-051.example,CASTELLO DE LA PLANA,43,6159.936751,6577.665424,920.42015,755.147294,SYNTHETIC HOLDING 04 SL,SYNTHETIC SOLARIDGE TECHNOLOGIES 051 SL,no_adverse_marker,False,SYNTHETIC SOLARIDGE TECHNOLOGIES 051 SL,False,1,-0.06350713301,-417.728673,0.1494203897,165.272856,143.254343,21.40511977,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
52,SYNTHETIC IRONVALE TECHNOLOGIES 052 SL,https://synthetic-company-052.example,VINAROS,36,3353.501607,2838.618079,406.834573,532.611641,,SYNTHETIC IRONVALE TECHNOLOGIES 052 SL,no_adverse_marker,False,SYNTHETIC IRONVALE TECHNOLOGIES 052 SL,False,1,0.1813852775,514.883528,0.1213163495,-125.777068,93.15282242,11.30096036,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
53,SYNTHETIC RIVERSTONE TECHNOLOGIES 053 SL,https://synthetic-company-053.example,NULES,16,2700.878333,2439.088072,667.608403,409.043402,,SYNTHETIC RIVERSTONE TECHNOLOGIES 053 SL,no_adverse_marker,False,SYNTHETIC RIVERSTONE TECHNOLOGIES 053 SL,False,1,0.1073312046,261.790261,0.2471819611,258.565001,168.8048958,41.72552519,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
54,SYNTHETIC NOVACORE TECHNOLOGIES 054 SL,https://synthetic-company-054.example,ALMASSORA,5,365.459247,332.233245,57.343892,44.279297,SYNTHETIC HOLDING 07 SL,SYNTHETIC NOVACORE TECHNOLOGIES 054 SL,no_adverse_marker,False,SYNTHETIC NOVACORE TECHNOLOGIES 054 SL,False,1,0.1000080591,33.226002,0.1569091286,13.064595,73.0918494,11.4687784,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
55,SYNTHETIC GREENFORGE TECHNOLOGIES 055 SL,https://synthetic-company-055.example,VINAROS,38,2749.139799,3239.909438,123.264975,-213.649542,SYNTHETIC HOLDING 08 SL,SYNTHETIC GREENFORGE TECHNOLOGIES 055 SL,no_adverse_marker,False,SYNTHETIC GREENFORGE TECHNOLOGIES 055 SL,False,1,-0.1514763448,-490.769639,0.04483765251,336.914517,72.34578418,3.243815132,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
56,SYNTHETIC CLEARPATH TECHNOLOGIES 056 SL,https://synthetic-company-056.example,CASTELLO DE LA PLANA,17,1434.643017,1463.123249,120.259198,172.544897,SYNTHETIC HOLDING 09 SL,SYNTHETIC CLEARPATH TECHNOLOGIES 056 SL,no_adverse_marker,False,SYNTHETIC CLEARPATH TECHNOLOGIES 056 SL,False,1,-0.01946536768,-28.480232,0.08382517224,-52.285699,84.39076571,7.074070471,False,False,False,True,False,False,0,1,False,True,clean,eligible,,revenue_decline
57,SYNTHETIC PRIMEFIELD TECHNOLOGIES 057 SL,https://synthetic-company-057.example,NULES,160,17193.89445,14845.08186,2468.231202,2781.275494,SYNTHETIC HOLDING 10 SL,SYNTHETIC PRIMEFIELD TECHNOLOGIES 057 SL,no_adverse_marker,False,SYNTHETIC PRIMEFIELD TECHNOLOGIES 057 SL,False,1,0.1582215989,2348.812587,0.1435527716,-313.044292,107.4618403,15.42644501,False,False,False,False,False,False,0,0,False,False,clean,eligible,,
